status,alias,nazwa,typ,resolution,fps,codec,streamid,server,hls,poprzedni_status,adres_strony,uwagi
ONLINE,64543e68da21a,USA - Pine Grove Resort,inne,640x480,16.18,mjpeg,60n45qmzrk23dsxmo,http://s96.ipcamlive.com/,https://s96.ipcamlive.com/streams/60n45qmzrk23dsxmo/stream.m3u8,ONLINE,https://www.ipcamlive.com/64543e68da21a,segment OK
ONLINE,5ad64dfb68455,West Topeka,inne,1280x720,30.03,h264,24csl1hikfwlvotjx,http://s36.ipcamlive.com/,https://s36.ipcamlive.com/streams/24csl1hikfwlvotjx/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/5ad64dfb68455,segment OK
ONLINE,bagnoflavio,Włochy - Bagno Flavio,inne,1920x1080,20.00,h264,3aayizp6l2orvmbet,http://s58.ipcamlive.com/,https://s58.ipcamlive.com/streams/3aayizp6l2orvmbet/stream.m3u8,OFFLINE,https://www.ipcamlive.com/bagnoflavio,segment OK
ONLINE,campingondina,Włochy - Cervo - Camping Ondina,inne,1920x1080,25.00,h264,3dknbrjcafgzgyfah,http://s61.ipcamlive.com/,https://s61.ipcamlive.com/streams/3dknbrjcafgzgyfah/stream.m3u8,ONLINE,https://www.ipcamlive.com/campingondina,segment OK
ONLINE,62da90f20979d,Włochy - Ischia - Maronti,inne,1920x1080,10.00,h264,a7blcqsnviw7a24vi,http://s167.ipcamlive.com/,https://s167.ipcamlive.com/streams/a7blcqsnviw7a24vi/stream.m3u8,ONLINE,https://www.ipcamlive.com/62da90f20979d,segment OK
ONLINE,riminieyecom,Włochy - Rimini,inne,1920x1080,25.64,h264,a7obtafdcvrlg4qm8,http://s167.ipcamlive.com/,https://s167.ipcamlive.com/streams_storage/a7obtafdcvrlg4qm8/stream.m3u8,ONLINE,https://www.ipcamlive.com/riminieyecom,segment OK
ONLINE,57053402af5ea,Botswana - Chobe River,jezioro / rzeka,3840x2160,25.13,h264,2e4if5srzf1nyhrmi,http://s46.ipcamlive.com/,https://s46.ipcamlive.com/streams/2e4if5srzf1nyhrmi/stream.m3u8,ONLINE,https://www.ipcamlive.com/57053402af5ea,segment OK
ONLINE,rorc,Rileys River Cam,jezioro / rzeka,1536x432,19.23,h264,8cpcw9ei7jdklovys,http://s140.ipcamlive.com/,https://s140.ipcamlive.com/streams/8cpcw9ei7jdklovys/stream.m3u8,ONLINE,https://www.ipcamlive.com/rorc,segment OK
ONLINE,snowcam1,USA - Lost Lake Woods,jezioro / rzeka,1280x720,14.99,h264,36g23ufj0aospyhxv,http://s54.ipcamlive.com/,https://s54.ipcamlive.com/streams/36g23ufj0aospyhxv/stream.m3u8,ONLINE,https://www.ipcamlive.com/snowcam1,segment OK
ONLINE,633f81d3bf9da,USA - Wolf River Resorts,jezioro / rzeka,1280x960,4.93,h264,43sl2hbv1jrgt30se,http://s67.ipcamlive.com/,https://s67.ipcamlive.com/streams/43sl2hbv1jrgt30se/stream.m3u8,OFFLINE,https://www.ipcamlive.com/633f81d3bf9da,segment OK
ONLINE,667166e35c208,Aero Club - Fuel Bowser North,lotnisko / aeroklub,1280x720,20.00,h264,2elnxopaxqdawkwby,http://s46.ipcamlive.com/,https://s46.ipcamlive.com/streams/2elnxopaxqdawkwby/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/667166e35c208,segment OK
ONLINE,lolkrw12,LOLK Runway 12,lotnisko / aeroklub,1280x720,20.04,h264,444qxz89s6myoweia,http://s68.ipcamlive.com/,https://s68.ipcamlive.com/streams/444qxz89s6myoweia/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/lolkrw12,segment OK
