status,alias,nazwa,typ,resolution,fps,codec,streamid,server,hls,poprzedni_status,adres_strony,uwagi
ONLINE,5ad64dfb68455,West Topeka,inne,1280x720,29.94,h264,24pel9hxfzgvoilxq,http://s36.ipcamlive.com/,https://s36.ipcamlive.com/streams/24pel9hxfzgvoilxq/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/5ad64dfb68455,segment OK
ONLINE,bagnoflavio,Włochy - Bagno Flavio,inne,1920x1080,20.00,h264,3anq6pvvh2wsi5fz7,http://s58.ipcamlive.com/,https://s58.ipcamlive.com/streams/3anq6pvvh2wsi5fz7/stream.m3u8,OFFLINE,https://www.ipcamlive.com/bagnoflavio,segment OK
ONLINE,campingondina,Włochy - Cervo - Camping Ondina,inne,1920x1080,25.00,h264,3dhm7c3uwqisnchv6,http://s61.ipcamlive.com/,https://s61.ipcamlive.com/streams/3dhm7c3uwqisnchv6/stream.m3u8,ONLINE,https://www.ipcamlive.com/campingondina,segment OK
ONLINE,62da90f20979d,Włochy - Ischia - Maronti,inne,1920x1080,10.00,h264,a7ydqfutdn3xsug7v,http://s167.ipcamlive.com/,https://s167.ipcamlive.com/streams/a7ydqfutdn3xsug7v/stream.m3u8,ONLINE,https://www.ipcamlive.com/62da90f20979d,segment OK
ONLINE,riminieyecom,Włochy - Rimini,inne,1920x1080,25.00,h264,a7obtafdcvrlg4qm8,http://s167.ipcamlive.com/,https://s167.ipcamlive.com/streams_storage/a7obtafdcvrlg4qm8/stream.m3u8,ONLINE,https://www.ipcamlive.com/riminieyecom,segment OK
ONLINE,57053402af5ea,Botswana - Chobe River,jezioro / rzeka,3840x2160,25.13,h264,1buojdgkckfeutv2x,http://s27.ipcamlive.com/,https://s27.ipcamlive.com/streams/1buojdgkckfeutv2x/stream.m3u8,ONLINE,https://www.ipcamlive.com/57053402af5ea,segment OK
ONLINE,rorc,Rileys River Cam,jezioro / rzeka,1536x432,19.19,h264,21pr2oq5pdtiiy1z7,http://s33.ipcamlive.com/,https://s33.ipcamlive.com/streams/21pr2oq5pdtiiy1z7/stream.m3u8,ONLINE,https://www.ipcamlive.com/rorc,segment OK
ONLINE,667166e35c208,Aero Club - Fuel Bowser North,lotnisko / aeroklub,1280x720,20.00,h264,2euemgbdyly67wcbe,http://s46.ipcamlive.com/,https://s46.ipcamlive.com/streams/2euemgbdyly67wcbe/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/667166e35c208,segment OK
ONLINE,lolkrw12,LOLK Runway 12,lotnisko / aeroklub,1280x720,20.04,h264,44owl6nhzqpqmrk3u,http://s68.ipcamlive.com/,https://s68.ipcamlive.com/streams/44owl6nhzqpqmrk3u/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/lolkrw12,segment OK
ONLINE,573c49f1b13ff,Astoria,miasto / panorama,1920x1080,25.00,h264,6eemn1yn5h9rsrkhp,http://s110.ipcamlive.com/,https://s110.ipcamlive.com/streams/6eemn1yn5h9rsrkhp/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/573c49f1b13ff,segment OK
